userid,Average Screen Time,Average Spent on App (INR),Left Review,Ratings,New Password Request,Last Visited Minutes,Status
1692,33,863,1,10,2,834,Installed
1693,25,306,1,9,4,2138,Installed
1694,32,627,1,6,4,3222,Installed
1695,37,854,1,6,7,2200,Installed
1696,30,849,1,10,6,2871,Installed
1697,8,4,1,0,2,4160,Installed
1698,10,87,0,4,8,1733,Installed
1699,38,208,1,7,8,2200,Installed
1700,30,424,0,6,5,4465,Installed
1701,10,84,0,1,5,2636,Installed
1702,2,13,1,1,9,15953,Uninstalled
1703,31,993,0,8,2,3004,Installed
1704,14,609,1,6,1,3154,Installed
1705,16,295,1,9,2,741,Installed
1706,11,282,0,7,5,4572,Installed
1707,43,958,0,8,7,2661,Installed
1708,22,53,1,7,2,1888,Installed
1709,7,69,0,0,2,831,Installed
1710,31,874,0,9,2,587,Installed
1711,18,845,0,9,1,4762,Installed
1712,14,567,0,7,8,4210,Installed
1713,37,300,1,9,6,1984,Installed
1714,34,116,1,8,4,1657,Installed
1715,3,45,1,2,8,28208,Uninstalled
1716,22,753,0,8,2,4309,Installed
1717,24,825,0,8,8,1711,Installed
1718,6,64,0,1,6,1356,Installed
1719,43,903,1,5,8,722,Installed
1720,47,560,0,10,6,1232,Installed
1721,4,36,0,2,10,19874,Uninstalled
1722,11,873,1,6,8,2210,Installed
1723,12,438,1,6,5,3959,Installed
1724,26,201,0,5,3,1164,Installed
1725,8,86,0,1,1,4899,Installed
1726,45,673,0,7,1,3102,Installed
1727,14,892,0,9,4,2001,Installed
1728,31,739,1,8,5,2524,Installed
1729,40,357,1,10,7,1034,Installed
1730,19,105,0,9,4,1667,Installed
1731,28,922,1,9,1,2672,Installed
1732,44,893,1,5,5,3935,Installed
1733,28,106,0,9,5,2153,Installed
1734,4,59,1,0,4,8685,Installed
1735,50,510,0,7,1,3677,Installed
1736,36,936,1,7,6,626,Installed
1737,26,734,0,5,2,404,Installed
1738,39,969,0,9,3,4208,Installed
1739,24,677,1,8,8,4399,Installed
1740,42,504,0,5,4,4469,Installed
1741,3,1,1,1,10,34395,Uninstalled
1742,41,305,0,8,1,2786,Installed
1743,34,804,1,10,8,261,Installed
1744,4,6,1,5,6,5481,Installed
1745,40,642,1,10,2,1456,Installed
1746,39,787,0,8,1,201,Installed
1747,40,231,1,7,7,3836,Installed
1748,20,747,0,8,3,1442,Installed
1749,49,357,0,10,1,2559,Installed
1750,10,26,0,0,7,2401,Installed
1751,1,10,1,0,6,23745,Uninstalled
1752,21,946,0,5,1,730,Installed
1753,14,797,1,6,6,4591,Installed
1754,15,841,0,5,3,289,Installed
1755,17,950,1,10,6,861,Installed
1756,14,945,1,9,6,4975,Installed
1757,6,45,0,2,4,4845,Installed
1758,28,834,1,9,5,1840,Installed
1759,0,92,1,5,10,32265,Uninstalled
1760,42,171,0,7,6,3460,Installed
1761,12,857,0,10,1,3559,Installed
1762,29,932,1,7,6,3427,Installed
1763,19,87,0,7,4,521,Installed
1764,13,733,0,8,8,2610,Installed
1765,25,462,0,10,4,2405,Installed
1766,36,955,0,9,8,3979,Installed
1767,6,32,0,5,6,1896,Installed
1768,10,51,1,0,3,3330,Installed
1769,20,298,0,8,8,3658,Installed
1770,47,449,1,7,5,2993,Installed
1771,34,172,1,6,8,4785,Installed
1772,30,424,0,8,7,706,Installed
1773,41,326,1,9,8,2168,Installed
1774,25,631,1,10,6,3288,Installed
1775,33,276,0,6,1,1602,Installed
1776,9,79,1,3,4,2801,Installed
1777,31,915,1,6,1,2832,Installed
1778,30,367,1,7,6,1900,Installed
1779,21,892,0,7,7,4942,Installed
1780,11,173,0,6,7,2013,Installed
1781,23,201,1,8,5,3759,Installed
1782,27,355,0,10,8,3917,Installed
1783,30,123,0,8,5,1416,Installed
1784,6,9,1,0,3,4559,Installed
1785,28,678,1,10,3,660,Installed
1786,23,831,1,8,1,4013,Installed
1787,1,87,0,5,5,38966,Uninstalled
1788,17,269,1,6,4,2298,Installed
1789,26,627,0,9,5,2167,Installed
1790,19,657,0,8,8,4180,Installed
1791,32,816,0,10,7,1558,Installed
1792,4,39,1,0,8,10049,Installed
1793,25,337,0,7,6,594,Installed
1794,15,632,0,6,3,3194,Installed
1795,8,79,0,0,2,2968,Installed
1796,34,342,1,6,6,3611,Installed
1797,37,659,1,5,6,396,Installed
1798,42,324,0,6,4,2994,Installed
1799,28,558,0,10,8,907,Installed
1800,39,452,1,7,7,2933,Installed
1801,3,60,1,0,6,7244,Installed
1802,23,352,0,6,4,2106,Installed
1803,31,572,1,6,6,3604,Installed
1804,13,300,1,8,7,4617,Installed
1805,34,331,1,7,6,4069,Installed
1806,11,938,0,6,5,3372,Installed
1807,0,6,1,4,7,44107,Uninstalled
1808,8,26,0,2,1,4315,Installed
1809,16,459,1,7,4,3859,Installed
1810,18,751,1,5,1,2883,Installed
1811,37,479,0,9,5,4868,Installed
1812,30,312,0,10,1,1613,Installed
1813,19,901,1,5,5,4749,Installed
1814,30,867,1,7,2,3693,Installed
1815,14,68,0,10,4,1958,Installed
1816,46,832,1,10,6,1854,Installed
1817,36,295,1,10,3,4454,Installed
1818,34,560,0,7,3,4175,Installed
1819,35,518,1,10,7,1161,Installed
1820,37,266,0,9,2,1455,Installed
1821,11,350,0,8,3,3159,Installed
1822,4,4,1,2,6,22148,Uninstalled
1823,30,564,1,8,3,1150,Installed
1824,1,92,1,0,4,10114,Installed
1825,29,387,0,10,7,2408,Installed
1826,2,93,0,2,13,18525,Uninstalled
1827,46,724,0,8,2,1555,Installed
1828,24,307,0,8,7,800,Installed
1829,44,890,1,8,4,4661,Installed
1830,18,454,1,5,5,3537,Installed
1831,11,624,0,6,2,1441,Installed
1832,19,557,1,10,3,4176,Installed
1833,17,579,0,7,6,2450,Installed
1834,20,246,0,8,5,1908,Installed
1835,5,87,0,2,5,13310,Installed
1836,29,490,0,6,3,2494,Installed
1837,28,732,1,6,8,2152,Installed
1838,29,311,0,5,1,953,Installed
1839,13,486,1,6,1,3922,Installed
1840,50,663,1,9,7,2144,Installed
1841,32,516,1,7,3,2302,Installed
1842,33,398,1,8,1,743,Installed
1843,46,93,1,7,6,1569,Installed
1844,6,69,0,2,4,1922,Installed
1845,1,65,1,1,3,10957,Installed
1846,2,5,1,5,12,41664,Uninstalled
1847,45,824,1,5,8,4033,Installed
1848,50,616,0,9,4,1243,Installed
1849,2,50,1,4,7,3007,Installed
1850,3,0,1,2,10,31644,Uninstalled
1851,9,90,1,5,1,3679,Installed
1852,45,286,1,10,1,2132,Installed
1853,36,55,0,6,7,3981,Installed
1854,4,12,0,2,6,15662,Uninstalled
1855,25,684,0,6,2,1833,Installed
1856,1,84,1,2,11,34445,Uninstalled
1857,44,758,1,6,3,2991,Installed
1858,32,365,1,10,8,1415,Installed
1859,17,615,1,6,5,2353,Installed
1860,36,928,1,8,4,2563,Installed
1861,20,993,0,10,5,4930,Installed
1862,22,261,0,9,2,291,Installed
1863,3,97,0,3,9,32253,Uninstalled
1864,23,764,0,10,2,2003,Installed
1865,17,255,0,9,6,2048,Installed
1866,5,1,1,3,3,6523,Installed
1867,7,81,0,4,3,1195,Installed
1868,15,332,0,8,7,3386,Installed
1869,3,30,0,1,11,27561,Uninstalled
1870,0,49,1,3,15,26958,Uninstalled
1871,28,518,1,8,6,1498,Installed
1872,11,603,1,8,2,427,Installed
1873,24,613,0,6,7,2058,Installed
1874,47,136,0,8,3,851,Installed
1875,6,15,1,1,7,3872,Installed
1876,25,682,1,6,2,1477,Installed
1877,31,323,1,9,6,3172,Installed
1878,13,597,0,9,2,3362,Installed
1879,8,64,1,1,2,670,Installed
1880,31,905,1,10,1,3773,Installed
1881,47,251,1,9,1,2365,Installed
1882,43,294,0,5,1,4955,Installed
1883,22,73,1,7,4,4715,Installed
1884,19,917,0,10,5,3258,Installed
1885,12,856,1,5,4,4428,Installed
1886,20,93,1,7,2,313,Installed
1887,47,964,1,7,3,1374,Installed
1888,19,111,0,10,4,2173,Installed
1889,37,619,1,5,4,1173,Installed
1890,46,241,1,10,7,1681,Installed
1891,31,717,0,9,2,4539,Installed
1892,34,84,0,7,5,3988,Installed
1893,46,783,0,6,3,600,Installed
1894,40,136,1,8,3,2136,Installed
1895,41,763,0,9,6,3100,Installed
1896,29,586,1,5,2,3094,Installed
1897,8,28,1,4,8,2186,Installed
1898,27,856,0,6,2,4537,Installed
1899,42,185,0,6,2,1726,Installed
1900,9,30,0,5,3,4373,Installed
1901,32,319,0,7,5,1769,Installed
1902,43,391,1,10,8,4000,Installed
1903,19,898,1,8,8,2999,Installed
1904,11,303,0,9,3,1107,Installed
1905,35,885,1,10,4,1271,Installed
1906,23,656,1,6,1,4650,Installed
1907,27,925,0,7,5,1058,Installed
1908,9,19,0,4,7,2061,Installed
1909,33,959,1,5,6,2017,Installed
1910,44,302,1,6,4,1176,Installed
1911,30,827,0,8,5,490,Installed
1912,48,920,1,6,3,1037,Installed
1913,31,662,0,9,6,3702,Installed
1914,39,273,0,5,8,936,Installed
1915,23,161,1,6,7,2356,Installed
1916,9,58,1,2,6,2486,Installed
1917,5,29,1,3,5,36725,Uninstalled
1918,37,291,0,10,2,2820,Installed
1919,18,402,1,8,3,3957,Installed
1920,34,457,1,8,3,289,Installed
1921,23,51,1,7,8,3745,Installed
1922,37,309,1,9,7,4189,Installed
1923,19,253,1,9,2,4198,Installed
1924,25,838,0,8,8,3445,Installed
1925,19,625,1,7,2,1601,Installed
1926,31,769,0,6,6,801,Installed
1927,2,78,1,4,9,33692,Uninstalled
1928,21,828,1,8,3,592,Installed
1929,41,747,0,7,7,3571,Installed
1930,35,85,0,10,3,4019,Installed
1931,22,277,0,9,6,1592,Installed
1932,14,847,0,10,3,252,Installed
1933,7,2,1,3,3,4541,Installed
1934,31,877,0,8,2,3086,Installed
1935,42,156,1,7,4,3754,Installed
1936,37,814,1,6,7,561,Installed
1937,2,84,0,3,3,7690,Installed
1938,10,19,1,0,1,3966,Installed
1939,21,755,0,9,3,864,Installed
1940,12,98,0,7,7,1877,Installed
1941,20,765,0,9,2,404,Installed
1942,27,996,1,10,4,2403,Installed
1943,36,975,0,9,2,3452,Installed
1944,4,42,0,4,5,32762,Uninstalled
1945,20,258,0,8,6,431,Installed
1946,39,983,1,8,3,893,Installed
1947,30,381,1,8,7,4228,Installed
1948,2,3,1,3,14,16067,Uninstalled
1949,19,868,1,6,2,2164,Installed
1950,0,95,0,1,10,16324,Uninstalled
1951,28,226,1,9,6,1020,Installed
1952,25,239,1,7,8,2530,Installed
1953,22,828,1,8,7,969,Installed
1954,6,40,0,4,3,1993,Installed
1955,7,95,1,0,6,4113,Installed
1956,4,22,0,5,8,10845,Installed
1957,2,31,0,5,7,15904,Uninstalled
1958,19,313,0,6,1,3124,Installed
1959,29,798,1,8,1,3072,Installed
1960,6,76,1,1,3,2835,Installed
1961,22,706,0,9,4,4851,Installed
1962,18,466,0,8,1,1109,Installed
1963,39,816,0,6,2,4522,Installed
1964,18,867,0,9,3,4016,Installed
1965,27,966,1,5,5,4710,Installed
1966,24,850,0,7,6,2821,Installed
1967,46,656,1,10,7,3624,Installed
1968,33,811,1,10,1,1827,Installed
1969,29,257,1,9,8,4606,Installed
1970,17,322,0,8,8,512,Installed
1971,28,146,1,10,5,1466,Installed
1972,15,218,0,6,2,4329,Installed
1973,36,744,0,5,5,713,Installed
1974,8,83,1,5,8,1505,Installed
1975,23,389,1,10,8,1786,Installed
1976,24,937,1,6,4,1676,Installed
1977,48,568,0,6,8,1280,Installed
1978,40,101,0,9,8,2224,Installed
1979,1,73,0,3,13,45734,Uninstalled
1980,2,43,1,5,7,39494,Uninstalled
1981,35,223,1,10,7,4328,Installed
1982,46,775,0,8,6,3489,Installed
1983,48,501,1,6,6,1305,Installed
1984,16,795,1,6,6,4027,Installed
1985,24,777,1,5,3,905,Installed
1986,35,564,0,8,8,4641,Installed
1987,35,359,0,6,1,756,Installed
1988,24,380,0,9,7,3821,Installed
1989,10,23,1,3,3,770,Installed
1990,8,31,0,5,7,2104,Installed
1991,46,961,0,7,4,3808,Installed
1992,34,327,0,8,3,880,Installed
1993,41,584,1,8,1,3634,Installed
1994,10,98,0,1,6,2935,Installed
1995,38,938,0,5,4,1865,Installed
1996,43,61,0,6,8,1327,Installed
1997,47,761,0,6,1,1936,Installed
1998,6,73,1,5,1,3436,Installed
1999,9,54,0,4,2,4039,Installed
